title,description,genre
TALES OF ARISE,"Challenge the Fate That Binds You

On the planet Dahna, reverence has always been given to Rena, the planet in the sky, as a land of the righteous and divine. Stories handed down for generations became truth and masked reality for the people of Dahna. For 300 years, Rena has ruled over Dahna, pillaging the planet of its resources and stripping people of their dignity and freedom.

Our tale begins with two people, born on different worlds, each looking to change their fate and create a new future. Featuring a new cast of characters, updated combat, and classic Tales of gameplay mechanics, experience the next chapter in the world-famous Tale of series, Tales of Arise.

The Next Chapter
Experience the next chapter in the Tales of series, brought to life in stunning HD powered by Unreal Engine 4

Dynamic Action
Dynamic Action RPG featuring an updated battle system that retains classic Tales of gameplay

A New Tale Awaits
Rich story featuring a vibrant world and new cast of characters

Stunning Visuals
High quality animation created by Ufotable","Genre(s): Role-Playing, Japanese-Style"
TALES OF SYMPHONIA REMASTERED,"In a dying world, legend has it that a Chosen One will one day rise from amongst the people and the land will be reborn. The line between good and evil blurs in this epic adventure where the fate of two interlocked worlds hangs in the balance. Follow the journey of Lloyd Irving as he and his friends try to save both worlds.

Dive back into Tales of Symphonia, an exciting and beloved action RPG, now with enhanced graphics and improved gameplay!","Genre(s): Role-Playing, Action RPG"
TALES OF VESPERIA: DEFINITIVE EDITION,"Tales of Vesperia: Definitive Edition celebrates the 10th anniversary of this RPG with new fully playable characters, events and other additional content never released outside of Japan. Follow Yuri Lowell, a former Imperial Knight, as he befriends a colorful cast of characters throughout the world of Terca Lumireis and finds himself in the middle of a nefarious plot that threatens the destruction of the entire planet.","Genre(s): Role-Playing, Action RPG"
TALISMAN: DIGITAL EDITION,"Talisman Digital Edition - The Magical Quest Game for 1 to 4 players.

The officially licensed multiplayer version of the classic fantasy adventure board game, Talisman.

In Talisman Digital Edition, there are 14 characters a player can control, from the heroic Warrior to the powerful Sorceress. In this perilous adventure, players battle it out to journey across a dangerous land and be the first to claim the Crown of Command, a magical artefact with the power to destroy all rivals and make the bearer the true ruler of the kingdom. On your travels, you will need strength, courage and some good dice rolls to survive the dangers you face and beat your opponents to the centre of the board.","Genre(s): Miscellaneous, Board / Card Game"
TALKING TOM CANDY RUN,"The robber has stolen your candy, but he is dropping it everywhere – along the street, at the beach, even at the amusement park! Choose your favorite Talking Tom and Friends character and get ready to run, jump, and slide your way through an epic, candy-filled adventure.","Genre(s): Action, Platformer, 2D"
TAMARIN,"SAVE YOUR FAMILY FROM THE INSECT INVASION

Explore an incredible interconnected 3D world, brimming with primate platforming and bug-splattering shooter action. Leap with the agility of a tamarin as you journey into the Northern wilderness on scenic routes through forests, fjords and mountains. Along the way you will chase mysterious electrical fireflies, discover a secret underground world of dancing ants, rescue innocent birds, and restore the tamarins' once idyllic natural habitat.

What kind of game is it?

Tamarin features a unique gameplay mix that alternates between 3D-platforming and exploration, and third-person shooter gameplay. The game is inspired by the more open 3D adventures from Nintendo and Rare, and by nature and all the wonderful plants and animals in it.","Genre(s): Action, Platformer, 3D"
TAMASHII,"Tamashii is a puzzle-platformer set in a distorted world of striking horror and unsettling imagery. A mysterious stranger is summoned to this twisted hell to discover the source of evil that emanates from within. Can you survive the devilish traps, tricky puzzles, and monstrous beings looming in its dark corridors?","Genre(s): Puzzle, General"
TAMIKU,Help Tamiku burst every balloon in the universe in this arcade game.,"Genre(s): Action, Platformer, 2D"
TANDEM: A TALE OF SHADOWS,Tandem: A Tale of Shadows redefines the puzzle platformer genre with a unique gameplay and exceptional aesthetics. Help Emma and the teddy bear Fenton solve the mystery of the disappearance of the famous magician Thomas Kane.,"Genre(s): Action Adventure, General"
TANGLE TOWER,"Unravel a thrilling mystery by exploring a strange and twisted mansion, discovering curious clues, interrogating peculiar suspects and solving unique puzzles.

Freya Fellow has been murdered. The lead suspect? A shadowy figure found looming over her body, wielding a knife. The problem? That suspect... is just a painting.

Investigate the entirety of Tangle Tower, from the bizarre and eerie gardens, to the cold and ominous crime scene at the very top.

Will you be able to uncover the secrets of Tangle Tower?","Genre(s): Action, Adventure, General"
TANGO FIESTA,N/A,"Genre(s): Action, General, Shooter, Shoot-'Em-Up, Top-Down"
TANK BRAWL 2: ARMOR FURY,"An epic 4 player co-op armor shooter with RPG upgrade system and fully destructible world. You can control both land and sea vehicles or even a Mecha, which can be combined with 4 drivers to create different classes to fight a fast paced epic battle with monstrous tanks, trains and battle cruisers!","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
TANK MECHANIC SIMULATOR,"Fix, build and renovate highly detailed and fully interactive tanks (German, USA or Soviet), armored cars or self-propelled guns. Experience a realistic simulator game of being a Tank Mechanic.

Find abandoned and destroyed tanks from battlefields of Second World War. Use special tools to find each tank, and extract it from the ground. Grow your repair service business and start your own tank museum.

Start the engine of a newly renovated tank, and feel its former power!","Genre(s): Simulation, Virtual, Career"
TANK WORLD,N/A,"Genre(s): Simulation, Vehicle, Combat"
TANKALOT,N/A,"Genre(s): Simulation, Vehicle, Combat"
TANKNAROK,"TANKNAROK is a high speed, frenzied blastathon where 2-4 tanks go head to head in a wide range of arenas; filled to the brim with huge guns, powerful explosions and dangerous hazards! Wholesome roughhousing with either your friends at home, or friendly strangers on the internet!","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
TANKS ISLAND,N/A,"Genre(s): Simulation, Vehicle, Combat"
TANKY TANKS,"Tanky Tanks is an intense, fast-paced tank shooter game. Play alone, together with friends or against your friends and show your navigation and reaction skills in 6 different game modes and countless levels.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
TANNENBERG,Experience authentic First World War action with 64 player battles of maneuver on the Eastern Front. Warfare between the Russian Empire and the Central Powers is a tense battle for dominance – stay close to your squad to survive!,"Genre(s): Action, Shooter, First-Person, Tactical"
TANUKI SUNSET,"Tanuki Sunset is a third-person longboarding game where players follow Tanuki, a rad raccoon with a longboard and a dream to land on the cover of the #1 magazine in Sunset Island: FISH!

Players must master longboard drifting to make their way from mountains ranges, through the city and down to the beach of Sunset Island. Throughout the journey players will guide Tanuki to perform rad tricks, jump-off ramps, all while avoiding cars and multiple obstacles. Collecting Tanuki Bits along the way is important to redeem for items and gear at Bob's Skate Shop, where players can customize Tanuki's outfit and longboard to better suit their personal style.","Genre(s): Racing, Arcade, Other"
TAQOBAN,"Play as Tao or Xiang, two pandas, and help them organize their boxes as efficiently as possible to earn a maximum of bamboos!

You'll need a lot of thinking skills in this mix of sliding game and classic puzzle platformer, to solve the levels of increasing difficulty. Also, with 12 cooperative levels to play with a friend.

Slide parts of the level to create new paths for your panda and get the box to its place. But be careful with the number of movements, you can obtain the precious golden bamboo or make your little panda cry.","Genre(s): Puzzle, Action, General"
TARMAC RACE,N/A,"Genre(s): Racing, Arcade, Automobile"
TASK FORCE KAMPAS,"Drawing inspiration from the golden age of Japanese shoot‘em ups, Task Force Kampas combines retro action with modern conventions, adding new mechanics and randomly generated stages with hand-crafted bosses.","Genre(s): Action, Shooter, Shoot-'Em-Up, Vertical"
TAURONOS,"Trapped inside an ancient labyrinth, chased by the mythical Minotaur. Will you reach the center? And if so, what will you discover about yourself there, in the dark?","Genre(s): Action Adventure, General"
TAXI CHAOS,"RUSH THROUGH THE CITY TO DELIVER YOUR CRAZY CUSTOMERS!

Get behind the wheel and get ready for a brand-new taxi experience! Drive around the city as the seasoned cab driver Vinny or the self-proclaimed ‘influencer’ Cleo, and pick up the craziest of customers!

Power through midtown in a strong muscle car, race past the parks in an exotic supercar or drift around the business area in a Japanese tuner taxi. Whatever you choose - your challenge is to deliver your passengers on time! At least, if you want to make any money.

Navigate through crowded streets, dodge pedestrians across sidewalks or even defy the laws of gravity by jumping over rooftops! Nothing is too extreme when it comes to delivering your passengers on time! Discover the best shortcuts and get to know New Yellow City (NYC), as well as your passengers, like the back of your hand.

Are you ready for this crazy and chaotic ride?","Genre(s): Simulation, Racing, Arcade, Vehicle, Automobile, Civilian"
TCHECO IN THE CASTLE OF LUCIO,"Tcheco in the Castle of Lucio is an exciting, fast-paced action game.

Help Tcheco the Adventure Boy to leave a mysterious castle full of deadly creatures!

Be ready for a big challenge, full of nonsense humor and retro goodness.","Genre(s): Action, Platformer, 2D"
TEACUP,Teacup the narrative driven adventure game about a shy frog looking for tea herbs for her upcoming tea party.,"Genre(s): Adventure, General"
TEAM SONIC RACING,Team Sonic Racing combines the best elements of arcade and fast and fast-paced competitive style racing as you face-off with friends in off with friends in intense multiplayer racing. Race together and work as a team by sharing power-ups and speed boosts. Take control of your racing style -- Choose from 3 distinct character types and unlock game changing vehicle customisation options to suit your racing style. Speed up. Gear Up -- Team Racing at Sonic Speed!,"Genre(s): Racing, Arcade, Automobile"
TEARS OF AVIA,"Tears of Avia is a turn-based strategy and tactics game set in the beautiful world of Estera. Navigate through war-torn environments, discover the secrets behind ancient long-abandoned cities and decide where your own morality ultimately lies.","Genre(s): Role-Playing, Action RPG, Strategy, Turn-Based, Tactics"
TECH GLITCH,An old school couch multiplayer game. Get your friends and compete against each other. Multiple game modes? Check. Many maps? Check. Power-Ups! Check. Nothing is decided until the clocks stop ticking. You can always flip the tables and win spectacularly.,"Genre(s): General, Puzzle, Action"
TECHNO TANKS,"Be ready for the Techno Tank experience!

Deafest the enemy tanks while dodging their deadly bullets.

Improve your aim and maneuver skills while surviving a crazy retro bullet hell.

Level by level the enemy's tanks get faster, smarter, and deadlier.

Can you defeat them all?

Techno Tanks is an intense, fast-paced arcade-inspired tanks game. It's a lot of fast fun and a must-have if you enjoy arcade games.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
TECHWARS GLOBAL CONFLICT,TechWars: Global Conflict is the world’s first isometric PVP mecha-action with direct control. Only the strongest player will be able to win in this war of titanic mechs. Use all the features of world’s realistic technology Techwars. Victory in every battle will bring you closer to creating your own death machine.,"Genre(s): Simulation, Vehicle, Combat"
TEENAGE MUTANT NINJA TURTLES: MUTANTS IN MANHATTAN,"Battle with your brothers through the sewers, subways, and streets of New York to defeat Shredder and Krang’s evil organization, Foot by Foot. Unleash custom combat skills and powerful team combos to save Manhattan from the overwhelming dark forces growing in the shadows.","Genre(s): Action, Beat-'Em-Up, 3D"
TEENAGE MUTANT NINJA TURTLES: SHREDDER'S REVENGE,"With Bebop and Rocksteady assaulting Channel 6 and stealing super gnarly devices to support Krang and Shredder's latest twisted plan, Teenage Mutant Ninja Turtles: Shredder's Revenge sees the Turtles battling across a righteous range of timeless TMNT locations. From Manhattan and Coney Island, to city rooftops and dank sewers, help the fearsome foursome trounce Foot Soldiers, Triceraton Warriors, and Rock Troops all the way to Dimension X!
Enjoy stunning full-color pixel art graphics and a vintage TMNT vibe that will rock you straight back to the awesome 80s. Every character, vehicle, weapon, item, and background is directly inspired by the 1987 TV show, making you feel like you hopped into the television -- with a dope mix of killer humor and action-packed adventures!","Genre(s): Action, Beat-'Em-Up, 2D"
TEENAGE MUTANT NINJA TURTLES: THE COWABUNGA COLLECTION,"Teenage Mutant Ninja Turtles: The Cowabunga Collection assembles thirteen classic TMNT games by KONAMI in one incredible package. This collection provides a unique opportunity for gamers to experience these immensely popular and very influential games on modern consoles and includes a fantastic set of new quality of life features:

* Added Online Play for certain games and Local Couch Play
* Save Anytime and Rewind
* Eleven Japanese Regional Versions
* Button Mapping
* Unique Development Art & Sketches
* Historic TMNT Media Content

The games are based on the characters and themes based on the 80's children's cartoon and comic book series, The Teenage Mutant Ninja Turtles. The game often takes place in a fictionalized New York City, in the sewers, inside futuristic enemy bases and even across time itself!","Genre(s): Miscellaneous, Compilation"
TEKKEN 7,"Love, Revenge, Pride. Each one of us has a reason to fight. Values are what define us and make us human, regardless of our strengths or weaknesses. There are no wrong motives, just the paths we choose to take. Experience the conclusion of the Mishima clan and unravel the reasons behind each step of their ceaseless fight. Powered by Unreal Engine 4, Tekken 7 features story-driven cinematic battles and intense duels that can be enjoyed with friends and rivals alike through innovative fight mechanics.","Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC10: ZAFINA,N/A,"Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC11: GANRYU,N/A,"Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC12: LEROY SMITH,N/A,"Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC13: FRAME DATA DISPLAY,N/A,"Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC14: FAHKUMRAM,"An add-on for TEKKEN 7 that grants use of the character ""Fahkumram"".","Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC15: CAVE OF ENLIGHTENMENT,"A mysterious buddhist temple set deep within a cave. This stage is chocked full of unique gimicks consisting of balcony breaks, floor breaks, and more!

This add-on is included in one or more sets. Please be careful not to buy the same content twice.

Use of this add-on requires the full version of the game (sold separately). You may also need to install the most recent game patch.","Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC16: KUNIMITSU,"An add-on for TEKKEN 7 that grants use of the character ""Kunimitsu"".","Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC17: VERMILION GATES,"An add-on for TEKKEN 7 that grants access to the ""Vermilion Gates"" stage.","Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC18: LIDIA SOBIESKA,The Polish prime minister Lidia Sobieska joins the fray! Fight to protect her people using her karate techniques! Osu!,"Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC19: ISLAND PARADISE,"A spacious beachside stage that features both a poolside right out of a high-class resort and a beach with beautiful clear water! Play while enjoying the unique atmosphere of the beach, including bright, warm sunlight during the daytime and a beautiful sunset in the evening.","Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC1: ULTIMATE TEKKEN BOWL & ADDITIONAL COSTUMES,"The classic mini bowling game from TEKKEN TAG TOURNAMENT is returning back as ""Ultimate TEKKEN BOWL"" DLC! On top of that, more customizable costumes such as BLOOD VENGEANCE outfits, swim suits, and iDOLM@STER costumes have been added!","Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC2: GEESE HOWARD PACK,N/A,"Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC3: NOCTIS LUCIS CAELUM PACK,"The battles in TEKKEN 7 get even hotter as Noctis Lucis Caelum from Final Fantasy XV joins the action as the next guest character to enter the TEKKEN 7 arena. Wielding his signature Engine Blade, Noctis is ready to deal heavy hard-hitting blows as he takes on the likes of Yoshimitsu, Devil Jin, Jack 7, and the rest of the TEKKEN 7 fighters when he enters the King of Iron Fist Tournament. [Bandai Namco]","Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC4: ANNA WILLIAMS,N/A,"Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC5: LEI WULONG,N/A,"Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC6: CRAIG MARDUK,N/A,"Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC7: ARMOR KING,N/A,"Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC8: JULIA CHANG,N/A,"Genre(s): Action, Fighting, 3D"
TEKKEN 7 - DLC9: NEGAN,N/A,"Genre(s): Action, Fighting, 3D"
TEKKEN 7 - ELIZA,N/A,"Genre(s): Action, Fighting, 3D"
TELL ME WHY,"Tell Me Why is the latest narrative adventure game from DONTNOD Entertainment, the studio behind the beloved franchise, Life Is Strange. In this intimate thriller, twins Tyler and Alyson Ronan use their special bond to unravel mysteries of their loving but troubled childhood. Set in beautiful small-town Alaska, Tell Me Why features true-to-life characters, mature themes and gripping choices.","Genre(s): Adventure, General"
TELL ME WHY: CHAPTER 1,"Twins Alyson and Tyler Ronan return to their small Alaskan town to sell their childhood home. As they sift through memories, ghostly images from their childhood cast doubt on what they remember about their mother's final days.","Genre(s): Adventure, General"
TELL ME WHY: CHAPTER 2,"The Ronan twins continue to uncover Mary-Ann's secrets, but find that some people who knew her want the truth to stay buried. Michael helps Tyler adapt to life in Delos Crossing, while Alyson struggles with the tension between her brother and Uncle Eddy.","Genre(s): Adventure, General"
TELL ME WHY: CHAPTER 3,"The search for their father's identity has thrown the twins' lives into turmoil. Fearing he's lost his sister, Tyler continues the pursuit alone. Meanwhile, Alyson's guilt brings her into conflict with the people she loves most, as the heart-rending Tell Me Why trilogy concludes!","Genre(s): Adventure, General"
TELLING LIES,"An investigative thriller game with non-linear storytelling, Telling Lies revolves around a cache of secretly recorded video conversations. Starring Logan Marshall-Green, Alexandra Shipp, Kerry Bishé, Angela Sarafyan and directed by Sam Barlow, creator of Her Story and Silent Hill: Shattered Memories.","Genre(s): Adventure, General"
TEMBO THE BADASS ELEPHANT,"TEMBO THE BADASS ELEPHANT is a larger than life, 2D side-scrolling action adventure from the creative geniuses behind the Pokémon games","Genre(s): Action Adventure, General"
TEMPEST 4000,"Tempest 4000 is a visually stunning, action-packed tube shooter based on the classic hit arcade game Tempest.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
TEMPLE DASH: JUNGLE ADVENTURE,Temple Dash is a fast-paced platformer. The rules are simple and the goal of this game is to train your reflexes and concentration so is it interesting to you? The game has 50 levels currently with different types of difficulty. Avoid the obstacles as you dash up to the finish line. Jump back and forth and improve your dashing skills. Have fun with the game!,"Genre(s): Action, Platformer, 2D"
TEMPLE OF HORROR,"Your soul, just like many others before, has been trapped in the Temple of Horror. It is an unreal place, filled with evil monsters, lost wandering souls, and forgotten evil that are trying to make their way out of the temple.

Escape the dangerous beings lurking in the dark, dodge countless deadly traps and slowly unruffle the secret of the Temple of Horror while not just trying to survive but to find your way out of this hell.

Will you be able to escape this scary action adventure?","Genre(s): Action Adventure, Adventure, General, 3D, First-Person"
TEMPUS - LEVEL ESCAPE,"You are the only citizen of TEMPUS, a small island far from civilisation where you live a quiet and carefree life.

One night everything changes and a blinding light appears along with a thunderous sound, as you approach the light disappears revealing a portal and some basic instructions.

As you enter, you discover that it is a time travel portal and you appear in your home, but 200 years in the future. You soon realise that this is a one-way trip as you cannot travel backwards in time, only forwards.

Your goal from then on is to re-activate the portal so that you can travel back and try to understand what is going on. You must explore each scenario to find a way to restore power to the portal so you can continue your journey into the unknown.","Genre(s): Adventure, 3D, First-Person"
"TEN - TEN ROOMS, TEN SECONDS","TEN is a challenging platformer in which you face a relentless gauntlet of ten-second deathtrap rooms in a desperate struggle to escape your fate and uncover the truth!

Collect tokens, purchase upgrades and learn how to overcome each floor’s onslaught of saw blades, cannon fire, lasers, bizarre monsters and more. Every room is a test. Every death is a lesson. Evolve and master every obstacle as you die, try, die and try again.

Conquer various environments and triumph over escalating threats, challenges, and deadly bosses as you make your way to the surface - and to your freedom.","Genre(s): Action, Platformer, 2D"
TEN DATES,"Ten Dates is the sequel to the interactive rom-com, Five Dates, taking place in the post-pandemic world.

Misha, a millennial from London in search of that elusive in-person connection, tricks her best friend Ryan into going to a speed dating event with her. Each with their own five potential matches, Misha and Ryan must pluck up the courage and turn on the charm to date wildly different personalities.

Throughout the game, your choices and interactions will either strengthen or weaken your relationship with your date. Amidst a branching, multi-directional chain of conversation topics and deep-dive questions, Misha and Ryan are faced with ice-breaker games, awkward scenarios and unexpected truths. Will either find love?","Genre(s): Adventure, General"
TENGAI,"The one of very famous shooting game, Tengai the second episode of Sengoku Ace.
Gun Bird, the best shooting games from x-nauts&Psikyo, produced original arcade games such as 1945 series.
Tengai confirmed the popularity and interested by beta test, is officially released!
Enjoy Tengai, you loved at arcade shooting game your smartphone.
Experience a fantastic adventure to save your princess in the age of war!
Fall into a fantastic war adventure to save your princess!
ⓒX-nautspsikyo&Windysoft
check out special features on Tengai
*Easy to control
Control as you used to at an arcade.
Offering a control system capable of fine adjustment.
*Unique six characters
Fight your enemy with unique characters such as Samurai, Ninja, Shaman and so on.

*Three transformations for the boss.
Meet the exclusive boss from x-nauts&Psikyo, going through various transformations to combat.

*The third round for enthusiastic players.
Game does not end when you finish the final boss.
Challenge the best record at the Third round for real enthusiastic players.

*How to control
-touch screen to move your character.
-touch the bomb button to fire a special bomb.
-touch the skill button to fire charge Shot","Genre(s): Action, Shooter, Shoot-'Em-Up, Horizontal"
TENNIS IN THE FACE,"This is no Wimbledon, this is Tennis in the Face! Get ready for some hilarious ragdoll-smashing ball-bouncing action!

Help Pete Pagassi to save the city from an evil energy drink corporation Explodz. Knock out creepy clowns, evil riot police and other Explodz-addicted maniacs with a tennis ball in the face. Bounce the ball off walls to reach targets lurking in cover and watch them tumble hilariously. Trigger masterful chain reactions and watch the chaos unfold. Finally enjoy the level finale in slow motion!

Tennis in the Face is a hilarious bouncer-game where you save the city from the evil Explodz Inc. with your extraordinary tennis skills. Simply move your finger on the screen, observe the aiming line, and lift your finger to serve a furious tennis smash.","Genre(s): Puzzle, Action"
TENNIS STORY,N/A,"Genre(s): Sports, Individual, Tennis"
TENNIS WORLD TOUR,"The new standard developed by veterans of tennis simulations: play as one of 30 professional tennis players, learn all the shots, master each type of surface and experience a realistic career mode. Define your style of play and tactics to become n°1 in the world!","Genre(s): Sports, Individual, Tennis"
TENNIS WORLD TOUR 2,"The market-leading tennis game is back. Play as the world's top players, master each surface, perfect your game and strive to dominate the world circuit. Choose from multiple game modes, with singles and doubles games, local and online.","Genre(s): Sports, Individual, Tennis"
TENNIS WORLD TOUR: ROLAND-GARROS EDITION,N/A,"Genre(s): Sports, Individual, Tennis"
TERA,"TERA is an innovative Action MMO featuring groundbreaking combat where player position, timing, and aim determine success in combat, creating an experience beyond the limitations of traditional point-and-click style MMO games. In the world of TERA, teamwork matters more than race or class, as players form a common federation to stave off obliteration from marauding monsters and evil gods. TERA seamlessly integrates elements such as questing, PvP combat, and crafting into its ""all action, no faction"" approach, giving players the MMO features they love in an innovative new context.","Genre(s): Role-Playing, Massively Multiplayer"
TERATOPIA,"Join Tucho in his quest to rescue his friends and liberate the colorfully grotesque lands of Teratopia! Traverse 13 unique zones packed with enemies bent on overtaking your homeland. But fear not! The power of friendship arms you with fellow Teratopians and a diverse set of skills to face a family of red invaders. Immerse yourself in an adventure full of action, and strategize on-the-go to better overcome your foes! Play as either Tucho the brawler, Benito the shooter, or Horacio the trickster, each with their own strengths and skills.","Genre(s): Action, Beat-'Em-Up, 3D"
TERMINATOR: RESISTANCE,"This story takes place in a post-apocalyptic Los Angeles, nearly 30 years after Judgement Day, and stars a brand new hero in the Terminator universe, Jacob Rivers, a soldier in the Resistance led by John Connor. Despite the fact that Jacob is just a lowly private, he'll soon discover that he's been specifically targeted by the latest threat from Skynet and marked for termination! Skynet may be destined to lose the war, but at what cost to Jacob? Experience the events leading up to the decisive final battle for the fate of mankind in the war against the machines!

Features:

* Choose what kind of action hero you want to be! Equip an epic arsenal of weaponry to run and gun or sneak and snipe through sprawling environments! The world isn't as forgiving as it used to be, so you'll need to find resources to help you out. If you can't find what you're looking for, then you better make it yourself.

* Change the fate of mankind! Protect a motley crew of survivors, each with their own motivations and backstories. The actions you take throughout the game will impact their survival and change the ending you get.

* Resist against the machines! Fight against a selection of iconic enemies from the films, including the T-800, as well as a host of enemies that are brand new to the Terminator universe!","Genre(s): Action, Shooter, First-Person, Arcade"
TERRARIA,"Terraria? What's that?

Terraria is a land of adventure! A land of mystery! A land that's yours to shape, to defend and to enjoy. Your options in Terraria are limitless, are you an action gamer with an itchy trigger finger? A master builder? A collector? An explorer? There's something for everyone here.

Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. The world is your canvas and the ground itself is your paint.

Grab your tools and go! Make weapons to fight off a variety of enemies in numerous biomes. Dig deep underground to find accessories, money, and other useful things. Gather resources to create everything you need to make the world your own. Build a house, a fort, or even a castle. People will move in to live there and perhaps even sell you different wares to assist you on your journey.

But beware, there are even more challenges awaiting you... Are you up to the task?

Key features:

- Sandbox Play
- Randomly generated worlds
- Free Content Updates","Genre(s): Action, Action Adventure, Platformer, Sandbox, 2D"
TERRATECH,"Explore, build, craft, and battle across alien worlds in this physics-based construction sandbox adventure. Design cars, tanks and planes from a huge library of blocks. Scavenge, craft and buy new parts to survive, and become the ultimate planetary prospector. Or jump into a 16-player PvP battle to grab and build as you fight.","Genre(s): Simulation, Vehicle, Combat"
TERROR OF HEMASAURUS,"Earth is on the brink of a climate catastrophe! The Church of the Holy Lizard hatches a dubious plan to save humanity from its own reckless disregard of the planet - unleash a monster to kill, destroy, and inflict terror!

Embark on a rampaging trail of total devastation across multiple stages as one of four recently defrosted monsters. Roar with delight as you stomp terrified citizens and pulverise buildings in an apocalyptic, retro arcade blast of awesome monsters, satisfying destruction, and farcical fatalities!","Genre(s): Action, Arcade"
TESLA FORCE,"With science as your superpower, team up with Tesla, Curie, Lovecraft, and Shelley to save the world from an invasion of cosmic horrors. Tesla Force is an intense, procedurally generated, rogue-lite top-down shooter packed with non-stop mayhem and over-the-top power tripping.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
TESLA VS LOVECRAFT,"Tesla vs Lovecraft is an intense top-down twin stick arena shooter. Play as the enigmatic inventor Nikola Tesla harnessing the static energy to power up Tesla-Mech and give the lovecraftian nightmares a lesson in horror!

Tesla vs Lovecraft is a top-down twin stick shooter with goal based levels. The games highlight features are Quantum Teleportation, which allows the player to warp short distances even through solid objects, and the Tesla-Mech, which provides the player an immense boost to firepower for a limited time.

Genre hallmarks such as a large arsenal of weapons, a multitude of player empowering perks, monster crushing powerups, and secondary weapon abilities are also included.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
TESLA VS LOVECRAFT: FOR SCIENCE!,N/A,"Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
TESLAGRAD,"Teslagrad is a 2D puzzle-platformer, where you play as a young lad who suddenly finds himself embroiled in an ancient conflict that will shake the foundations of his entire existence, and bring a gruesome truth to light.

The game revolves around the use of electricity and magnetism, and your ingenuity will be put to the test as you employ the amazing technology of the Teslamancers to traverse the abandoned Tesla Tower. The game is completely devoid of both text and dialogue, and prefers to tell the story purely through visual means.","Genre(s): Action, Platformer, 2D"
TESLAPUNK,Teslapunk is a classic 2D shoot-em-up with fast-paced arcade gameplay. You have to defend earth against an invasion from Mars lead by Emperor Zangórax who back on Mars is a popular DJ by night and a frantic invader by day. The Invasion takes you through 6 different levels each uniquely designed.,"Genre(s): Action, Shooter, Shoot-'Em-Up, Vertical"
TETRA'S ESCAPE,"Tetra’s Escape is a platforming puzzle-game all about blocks named Tetras, which can turn into different Tetrominos to fill holes and master puzzles.","Genre(s): Puzzle, Action"
TETRAGON,"Welcome to Tetragon – a vast mysterious universe of unique game mechanics, puzzles, magical mazes, and challenges! It’s a real challenge for those who enjoy the games in the vein of The Room, The Witness and The Talos Principle.

Your goal is to move planes with a spinning world gravity. Using the power of TetraGen move the ground and the towers to guide the brave lumberjack Lucios through the scattered worlds and find his lost son!

Somewhere in the parallel universe there is a world made of the plane realities. These planes float around the sacred jewel – TetraGen. Since the dawn of time it had been a prosperous world with no place for anything evil in it… until out of nowhere a mysterious dark energy started to grow in Tetragon.

After a while it had spawned the most bizarre creature intending to destroy the TetraGen and plunge the world of Tetragon into the chaos! Eventually, this creature had reached its goal and the TetraGen jewel was broken into the pieces. Only by using all of its powers the Will of Tetragon managed to imprison the dark creature but it was too late. Now someone brave has to fix this broken world by retrieving the pieces of TetraGen…","Genre(s): Action, Adventure, General, Platformer, 2D"
TETRAMINOS,"For beginners or veterans, Tetraminos offers an easy-to-learn challenge. Give your brain a workout with the 50 Puzzle mode levels, survive as long as possible in Endless mode and rack up the combos and same-colour lines to climb to first place in the online ranking. Challenge your friends in local Versus mode with up to 4 players and sabotage their boards in wild games.","Genre(s): Puzzle, Stacking"
